Release,Date,Author Count,Commit Count
CakePHP 4.3.6 released,2022-03-05T02:11:15+00:00,0,0
CakePHP 4.4.0-RC1 released,2022-03-19T20:40:15+00:00,0,0
CakePHP 4.3.7 released,2022-03-26T02:09:46+00:00,0,0
CakePHP 4.3.8 released,2022-04-23T01:23:23+00:00,0,0
CakePHP 3.10.3 Released,2022-05-08T15:00:39+00:00,0,0
CakePHP 4.3.9 released,2022-05-14T01:25:15+00:00,0,0
CakePHP 4.4.0-RC2 released,2022-05-15T01:37:08+00:00,0,0
CakePHP 3.10.4 Released,2022-05-21T19:42:13+00:00,0,0
CakePHP 4.3.10 released,2022-06-03T02:29:37+00:00,0,0
CakePHP 4.4.0 released,2022-06-07T02:42:27+00:00,0,0
CakePHP 4.4.1 released,2022-06-13T17:20:44+00:00,0,0
CakePHP 4.4.2 released,2022-07-06T02:27:55+00:00,0,0
CakePHP 4.4.3 released,2022-07-27T00:52:07+00:00,0,0
CakePHP 4.4.4 released,2022-08-08T02:19:21+00:00,0,0
CakePHP 4.4.5 released,2022-08-29T00:25:46+00:00,0,0
CakePHP 4.4.6 released,2022-10-01T23:52:05+00:00,0,0
CakePHP 4.4.7 released,2022-10-30T02:20:57+00:00,0,0
CakePHP 4.4.8 released,2022-12-02T02:29:42+00:00,869,44516
